Days
4
4
18
16
2
3
2
7
3
15
7
5
5
7
17
5
16
2
1
3
7
17
17
4
6
5
11
19
10
18
8
18
17
17
2
9
2
3
6
20
16
3
4
4
5
3
4
4
2
3
4
6
8
1
7
6
5
5
1
6
3
3
8
8
6
2
6
7
3
15
7
1
2
12
6
13
14
8
5
7
1
4
13
1
5
7
8
7
1
4
4
5
5
5
1
5
1
1
6
13
7
19
5
12
14
1
7
1
11
19
19
19
4
4
5
3
6
6
5
4
19
1
8
8
2
2
